gvkey,fqtr,fyearq,datadate,tic,atq,dlcq,piq,tcorq
009783,3,2020,2020/09/30,KEY,170540.0000,1031.0000,484.0000,1800.0000
009783,4,2020,2020/12/31,KEY,170336.0000,3566.0000,689.0000,1923.0000
009783,1,2021,2021/03/31,KEY,176203.0000,1025.0000,765.0000,1825.0000
009783,2,2021,2021/06/30,KEY,181115.0000,934.0000,913.0000,1840.0000
009783,3,2021,2021/09/30,KEY,187035.0000,995.0000,808.0000,1884.0000
009783,4,2021,2021/12/31,KEY,186346.0000,3156.0000,768.0000,2012.0000
009783,1,2022,2022/03/31,KEY,181221.0000,2821.0000,537.0000,1756.0000
010035,1,2020,2020/03/31,STT,362527.0000,35873.0000,774.0000,3267.0000
010035,2,2020,2020/06/30,STT,280242.0000,15686.0000,803.0000,3052.0000
010035,3,2020,2020/09/30,STT,272075.0000,13087.0000,681.0000,2826.0000
010035,4,2020,2020/12/31,STT,314706.0000,8905.0000,641.0000,2929.0000
010035,1,2021,2021/03/31,STT,316885.0000,1429.0000,627.0000,2954.0000
010035,2,2021,2021/06/30,STT,326528.0000,1293.0000,938.0000,3034.0000
010035,3,2021,2021/09/30,STT,323139.0000,1186.0000,876.0000,2991.0000
010035,4,2021,2021/12/31,STT,314624.0000,1703.0000,730.0000,2994.0000
010035,1,2022,2022/03/31,STT,322350.0000,4295.0000,754.0000,3094.0000
010035,2,2022,2022/06/30,STT,300223.0000,1024.0000,835.0000,3074.0000
010137,4,2019,2020/03/31,SMFG,2043295.0090,139645.1850,8258.6050,47090.0220
010137,1,2020,2020/06/30,SMFG,2097827.7830,140665.9470,,
010137,2,2020,2020/09/30,SMFG,2140521.4510,128450.0970,,
010137,3,2020,2020/12/31,SMFG,2232538.5190,146154.4670,,
010137,4,2020,2021/03/31,SMFG,2193306.6140,164486.0970,6077.9770,33090.9370
010137,1,2021,2021/06/30,SMFG,2163680.5630,160401.4960,,
010137,2,2021,2021/09/30,SMFG,2163721.2250,150797.2340,,
010137,3,2021,2021/12/31,SMFG,2177002.1130,173235.7890,,
010137,4,2021,2022/03/31,SMFG,2122161.5080,178435.6720,7655.0270,31165.8980
010916,1,2020,2020/03/31,UMBF,26244.8860,1905.9170,-4.2540,306.3150
010916,2,2020,2020/06/30,UMBF,29753.6080,1978.6940,68.6520,308.6460
010916,3,2020,2020/09/30,UMBF,30250.9720,1944.0040,83.3850,310.4880
010916,4,2020,2020/12/31,UMBF,33127.5040,2315.4970,191.1070,322.5720
010916,1,2021,2021/03/31,UMBF,34669.3890,2759.8180,109.5660,323.2120
010916,2,2021,2021/06/30,UMBF,36619.0150,2783.3890,107.3220,328.7680
010916,3,2021,2021/09/30,UMBF,37554.2850,2500.3400,113.8030,332.7430
010916,4,2021,2021/12/31,UMBF,42693.4840,3238.4350,98.3690,338.9170
010916,1,2022,2022/03/31,UMBF,40605.7420,2840.5350,125.7550,345.9990
011687,1,2020,2020/03/31,ZION,71467.0000,3765.0000,16.0000,762.0000
011687,2,2020,2020/06/30,ZION,76447.0000,860.0000,82.0000,716.0000
011687,3,2020,2020/09/30,ZION,78357.0000,1252.0000,215.0000,733.0000
011687,4,2020,2020/12/31,ZION,81479.0000,1854.0000,359.0000,724.0000
011687,1,2021,2021/03/31,ZION,85121.0000,1032.0000,411.0000,720.0000
011687,2,2021,2021/06/30,ZION,87208.0000,741.0000,455.0000,712.0000
011687,3,2021,2021/09/30,ZION,88306.0000,579.0000,311.0000,731.0000
011687,4,2021,2021/12/31,ZION,93200.0000,1193.0000,269.0000,736.0000
011687,1,2022,2022/03/31,ZION,91126.0000,638.0000,255.0000,714.0000
011842,1,2020,2020/03/31,ASB,33908.0560,716.6540,56.0560,355.4320
011842,2,2020,2020/06/30,ASB,35501.4640,181.8280,199.9560,476.2400
011842,3,2020,2020/09/30,ASB,34698.7460,206.3160,-12.8990,288.6130
011842,4,2020,2020/12/31,ASB,33419.7830,569.6710,83.8600,297.3890
011842,1,2021,2021/03/31,ASB,34575.2550,514.8810,118.9030,292.3020
011842,2,2021,2021/06/30,ASB,34152.6250,542.4210,113.4870,272.6790
011842,3,2021,2021/09/30,ASB,34439.6660,342.0780,111.8690,282.3580
011842,4,2021,2021/12/31,ASB,35104.2530,366.1610,92.0480,283.2300
011842,1,2022,2022/03/31,ASB,34955.9000,736.4670,92.9120,276.7160
011856,1,2020,2020/03/31,TFC,506229.0000,12696.0000,1287.0000,6389.0000
011856,2,2020,2020/06/30,TFC,504336.0000,5700.0000,1149.0000,6011.0000
011856,3,2020,2020/09/30,TFC,499183.0000,6244.0000,1396.0000,5729.0000
011856,4,2020,2020/12/31,TFC,509228.0000,11465.0000,1641.0000,5896.0000
011856,1,2021,2021/03/31,TFC,517537.0000,3889.0000,1824.0000,5691.0000
011856,2,2021,2021/06/30,TFC,521964.0000,4527.0000,2073.0000,5848.0000
011856,3,2021,2021/09/30,TFC,529884.0000,5226.0000,2127.0000,5791.0000
011856,4,2021,2021/12/31,TFC,541241.0000,11652.0000,1969.0000,5734.0000
011856,1,2022,2022/03/31,TFC,543979.0000,5147.0000,1746.0000,5568.0000
011861,1,2020,2020/03/31,VLY,39120.6290,2095.6550,116.3970,405.2300
011861,2,2020,2020/06/30,VLY,41717.2650,2082.8800,129.0670,393.3960
011861,3,2020,2020/09/30,VLY,40855.3330,1430.7260,141.2650,386.6610
011861,4,2020,2020/12/31,VLY,40686.0760,1700.4770,143.3370,380.9400
011861,1,2021,2021/03/31,VLY,41178.0110,1084.6660,155.0310,363.1490
011861,2,2021,2021/06/30,VLY,41274.2280,854.3780,163.3930,376.8870
011861,3,2021,2021/09/30,VLY,41278.0070,783.3460,165.0040,369.7380
011861,4,2021,2021/12/31,VLY,43446.4430,1005.7260,157.3110,377.7070
011861,1,2022,2022/03/31,VLY,43551.4570,484.1810,156.0420,380.8000
011896,1,2020,2020/03/31,FMBI,19753.3000,372.6820,26.0740,210.5940
011896,2,2020,2020/06/30,FMBI,21244.8810,330.6670,25.2460,195.0350
011896,3,2020,2020/09/30,FMBI,21088.1430,132.6520,36.3130,185.3420
011896,4,2020,2020/12/31,FMBI,20838.6780,414.8780,47.3480,187.6770
011896,1,2021,2021/03/31,FMBI,21208.5910,141.2090,62.3950,196.9530
011896,2,2021,2021/06/30,FMBI,21625.4240,148.8960,69.1390,200.2700
011896,3,2021,2021/09/30,FMBI,21778.1800,124.0440,74.3220,199.8520
011896,4,2021,2021/12/31,FMBI,21778.2420,1291.8160,65.2900,192.4820
012035,1,2020,2020/03/31,RBB,3128.6530,0.0000,10.0000,38.6430
012035,2,2020,2020/06/30,RBB,3136.1810,0.0000,9.4140,36.1530
012035,3,2020,2020/09/30,RBB,3359.5760,0.0000,12.1390,37.8560
012035,4,2020,2020/12/31,RBB,3350.0720,0.0000,15.9060,40.2980
012035,1,2021,2021/03/31,RBB,3664.2990,0.0000,18.0870,41.4540
012035,2,2021,2021/06/30,RBB,3890.6380,0.0000,18.9200,40.1770
012035,3,2021,2021/09/30,RBB,3801.8070,0.0000,21.4840,42.6370
012035,4,2021,2021/12/31,RBB,4228.1940,0.0000,22.4460,41.9000
012035,1,2022,2022/03/31,RBB,4013.5690,0.0000,21.0080,42.5100
012673,1,2020,2020/03/31,BCS,1798148.5200,,,
012673,2,2020,2020/06/30,BCS,1715051.8690,,1574.9900,
012673,3,2020,2020/09/30,BCS,1838502.3510,,,
012673,4,2020,2020/12/31,BCS,1812127.3990,48073.5820,2540.6920,34320.6270
012673,1,2021,2021/03/31,BCS,1900614.1060,,,
012673,2,2021,2021/06/30,BCS,1900853.5060,,6876.4970,17738.8490
012673,3,2021,2021/09/30,BCS,1899073.8530,,,
012673,4,2021,2021/12/31,BCS,1874460.3190,74535.0810,4516.9000,16610.6050
012673,1,2022,2022/03/31,BCS,1966616.8780,,,
013041,1,2020,2020/03/31,SNV,50619.5850,1487.7760,42.1160,579.0200
013041,2,2020,2020/06/30,SNV,54121.9890,525.5760,124.0570,555.6430
013041,3,2020,2020/09/30,SNV,53040.5380,602.3440,131.3630,551.5110
